Albania,1073000,30000,No data,30000,No data
Austria(German-controlled),6653000,255500,124000,370000, No data
Belgium,8387000,12000,76000,88000,55513
Bulgaria,6458000,18500,3000,21500,21878
Canada,11267000,42000,1600,43600,53174
Czechoslovakia,14612000,40500,307000,347500,8017
Denmark,3795000,No data,6000,6000,2000
Egypt,16492000,1100,No data,1100,No data
Estonia,1134000,34000,49000,83000,No data
Finland,3700000,89000,2000,90000,50000
France,41680000,210000,390000,600000,390000
Germany,69300000,4879000,2250000,7150000,7300000
Greece,7222000,35100,171800,657000,47290
Hungary,9129000,200000,264000,464000,89313
Iceland,118900,No data,200,200,No data
Iran,14340000,200,No data,200,No data
Iraq,3698000,500,200,700,No data
Ireland,2960000,No data,100,100,No data
Italy,44394000,330100,153200,503200,272500
Japan,71380000,2200000,675000,2800000,326000
Latvia,1994500,30000,220000,250000,No data
Lithuania,2575000,25000,345000,370000,No data
Luxembourg,295000,No data,5000,5000,No data
Malta(British),269000,No data,1500,1500,No data
Netherlands,8729000,6700,187300,210000,2860
Norway,2945000,2000,8200,10200,364
Poland,34849000,240000,5720000,5950000,766606
Romania,15970000,300000,200000,500000,332769
Soviet Union,188793000,10034000,7250000,23500000,14685593
Spain,25637000,No data,No data,No data,No data
Sweden,6341000,100,2000,2100,No data
Switzerland,4210000,No data,100,100,No data
Turkey,17370000,200,No data,200,No data
United Kingdom,47760000,383700,67200,450900,376239
United States,131028000,407300,12100,419400,671801
Yugoslavia,15490000,373000,990500,1363500,425000
Other nations,300000000,No data,No data,No data,No data
Approx. totals,2300000000,23250000,29750000,77500000,No data
